,State,District,SOURCE,Latitude,Longitude,Well Depth,Pre_2015,Pre_2016,Pre_2017,Pre_2018,Pre_2019,Pst_2015,Pst_2016,Pst_2017,Pst_2018,Pst_2015
109,gujarat,Mehsana,SGWB,23.89,72.49,150.0,143.5,141.8,148.7,151.2,153.0,138.6,141.1,142.0,141.5,145.1
110,gujarat,Mehsana,SGWB,23.91,72.66,300.0,40.0,39.2,41.5,42.45,45.2,31.5,31.3,36.0,35.7,39.0
111,gujarat,Mehsana,SGWB,23.87,72.64,58.0,24.0,25.7,30.6,25.2,36.0,21.9,21.4,20.0,25.1,29.5
112,gujarat,Mehsana,SGWB,23.69,72.31,60.0,65.40000153,65.30000305,65.19999695,64.90000153,65.30000305,65.40000153,65.34999847,65.19999695,65.30000305,64.80000305
113,gujarat,Mehsana,SGWB,23.52,72.42,60.0,53.09999847,58.09999847,65.75,63.20000076,70.80000305,52.5,61.29999924,65.59999847,65.80000305,69.90000153
114,gujarat,Mehsana,SGWB,23.52,72.42,90.0,80.2,43.29999924,44.5,42.59999847,46.5,79.40000153,43.5,44.0,43.29999924,44.59999847
115,gujarat,Mehsana,SGWB,23.57,72.42,180.0,59.29999924,59.40000153,59.59999847,60.79999924,63.20000076,60.29999924,60.20000076,59.40000153,61.70000076,62.40000153
116,gujarat,Mehsana,SGWB,23.5,72.32,60.0,69.0,65.5,65.90000153,65.90000153,66.80000305,68.19999695,64.69999695,65.40000153,65.40000153,66.69999695
117,gujarat,Mehsana,SGWB,23.42,72.3,60.0,79.40000153,86.30000305,79.65000153,81.69999695,80.0,77.90000153,79.19999695,78.59999847,79.19999695,78.59999847
118,gujarat,Mehsana,SGWB,23.89,72.58,90.0,40.9,37.9,38.7,37.4,39.2,38.4,38.5,37.7,38.6,38.8
119,gujarat,Mehsana,SGWB,23.55,72.32,90.0,52.79999924,78.19999695,82.19999695,81.0,77.90000153,68.0,79.44999695,82.0,81.30000305,77.80000305
120,gujarat,Mehsana,SGWB,24.07,72.77,179.0,10.80000019,9.5,10.19999981,9.399999618999999,16.79999924,6.5,7.3000001910000005,6.400000095,8.899999618999999,8.5
121,gujarat,Mehsana,SGWB,23.99,72.76,90.0,17.10000038,14.80000019,19.70000076,15.60000038,20.5,9.800000191,15.80000019,10.0,16.0,12.60000038
122,gujarat,Mehsana,SGWB,23.91,72.54,90.0,29.6,29.1,30.9,14.1,13.0,28.5,29.0,27.8,17.1,15.4
123,gujarat,Mehsana,SGWB,23.8,72.49,90.0,83.09999847,73.90000153,74.59999847,74.90000153,78.0,73.40000153,74.0,73.5,75.5,76.30000305
124,gujarat,Mehsana,SGWB,23.8,72.32,57.0,111.5500031,110.5,110.8000031,111.5,108.59999850000001,110.40000149999999,111.8000031,109.3000031,111.3000031,108.0
125,gujarat,Mehsana,SGWB,23.8,72.32,90.0,180.3000031,182.8000031,185.6999969,187.5,187.1000061,176.3000031,184.3999939,181.6000061,185.3999939,183.1999969
126,gujarat,Mehsana,SGWB,23.8,72.32,60.0,181.1000061,184.1999969,184.3000031,186.3000031,188.0,184.6000061,183.8999939,180.1000061,183.6999969,181.6999969
127,gujarat,Mehsana,SGWB,23.85,72.34,60.0,90.80000305,89.90000153,90.30000305,89.90000153,88.09999847,90.30000305,89.80000305,88.40000153,88.30000305,86.90000153
128,gujarat,Mehsana,SGWB,23.87,72.79,59.0,12.69999981,13.05000019,14.89999962,12.19999981,12.5,11.5,13.5,11.19999981,13.0,12.60000038
129,gujarat,Mehsana,SGWB,23.65,72.66,120.0,81.59999847,81.19999695,82.40000153,82.90000153,84.0,80.5,80.80000305,81.69999695,82.59999847,82.59999847
130,gujarat,Mehsana,SGWB,23.58,72.59,130.0,100.0999985,101.1999969,102.0999985,102.0,100.3000031,102.3000031,103.0,99.80000305,99.0,100.4000015
131,gujarat,Mehsana,SGWB,23.7,72.82,214.0,38.40000153,40.90000153,41.09999847,37.29999924,42.40000153,38.09999847,37.40000153,36.75,36.79999924,37.0
132,gujarat,Mehsana,SGWB,23.53,72.62,300.0,97.30000305,98.5,99.80000305,102.1999969,101.0,100.0500031,99.19999695,97.59999847,99.0,100.5
133,gujarat,Mehsana,SGWB,23.53,72.62,120.0,152.9499969,153.3000031,156.6000061,161.6000061,164.3000031,154.8000031,152.8000031,154.8000031,155.3999939,155.3000031
134,gujarat,Mehsana,SGWB,23.53,72.79,26.0,78.19999695,77.0,77.19999695,78.19999695,81.09999847,76.69999695,76.59999847,77.0,79.19999695,78.59999847
135,gujarat,Mehsana,SGWB,23.7,72.62,120.0,87.0,87.30000305,88.59999847,90.30000305,91.0,85.90000153,85.09999847,87.40000153,88.0,88.0
136,gujarat,Mehsana,SGWB,23.71,72.38,120.0,10.10000038,11.0,11.30000019,10.39999962,8.600000381000001,9.699999809,10.19999981,9.600000381000001,10.80000019,7.0
137,gujarat,Mehsana,SGWB,23.63,72.56,50.0,110.0,109.90000149999999,111.09999850000001,111.6999969,109.0,112.09999850000001,110.90000149999999,108.59999850000001,108.1999969,110.6999969
138,gujarat,Mehsana,SGWB,23.75,72.51,120.0,144.8999939,145.3500061,148.1999969,149.8999939,149.0,141.6000061,145.8000031,147.8999939,146.0,146.1000061
139,gujarat,Mehsana,SGWB,23.72,72.46,180.0,3.25,3.799999952,4.1999998089999995,3.099999905,5.599999905,2.200000048,2.599999905,1.5,3.599999905,6.0
140,gujarat,Mehsana,SGWB,23.73,72.71,120.0,61.09999847,60.25,62.20000076,62.09999847,72.09999847,58.20000076,56.20000076,61.0,59.0,63.29999924
141,gujarat,Mehsana,SGWB,23.84,72.66,116.0,61.59999847,63.5,64.69999695,69.25,67.0,53.59999847,62.0,63.0,63.29999924,62.79999924
142,gujarat,Mehsana,SGWB,23.75,72.33,60.0,78.09999847,77.80000305,76.59999847,77.40000153,77.5,77.80000305,77.19999695,76.30000305,77.5,76.09999847
143,gujarat,Mehsana,SGWB,23.86,72.4,120.0,109.3000031,108.6999969,107.6999969,109.15000149999999,106.40000149999999,105.90000149999999,105.4499969,107.1999969,105.90000149999999,106.0
144,gujarat,Mehsana,SGWB,23.86,72.47,180.0,87.40000153,87.09999847,86.5,86.15000153,86.09999847,85.19999695,83.09999847,82.80000305,82.09999847,84.30000305
145,gujarat,Patan,SGWB,24.03,72.14,120.0,57.2,56.1,59.1,61.0,68.4,55.4,56.1,57.9,61.8,64.1
146,gujarat,Patan,SGWB,23.89,72.2,120.0,71.4,71.6,72.6,72.5,73.2,71.9,71.7,72.4,73.2,72.4
147,gujarat,Patan,SGWB,23.86,72.03,110.0,56.40000153,57.0,59.59999847,58.0,59.79999924,56.09999847,56.5,55.0,57.5,55.0
148,gujarat,Patan,SGWB,23.83,72.22,26.0,35.5,32.79999924,35.40000153,32.65000153,36.29999924,33.90000153,33.0,33.79999924,33.70000076,36.40000153
149,gujarat,Patan,SGWB,24.08,72.21,20.5,52.95,52.9,53.1,50.7,55.4,52.8,50.8,53.0,52.2,49.6
150,gujarat,Patan,SGWB,24.14,72.13,43.5,96.7,96.6,99.6,100.4,105.2,91.5,94.1,97.0,98.0,105.5
151,gujarat,Patan,SGWB,23.91,72.46,90.0,49.0,50.29999924,49.70000076,49.09999847,49.40000153,47.90000153,47.0,47.70000076,49.20000076,49.59999847
152,gujarat,Patan,SGWB,23.91,72.46,90.0,73.5,63.6,64.4,64.3,64.3,73.6,63.1,62.9,64.4,63.6
153,gujarat,Patan,SGWB,23.98,72.29,90.0,64.30000305,66.5,64.44999695,64.90000153,63.70000076,62.20000076,64.40000153,63.79999924,64.30000305,60.0
154,gujarat,Patan,SGWB,23.98,72.29,90.0,115.5,115.6,113.3,112.2,112.0,115.7,110.4,111.9,113.8,108.6
155,gujarat,Sabarkantha,SGWB,23.87,73.08,90.0,14.2,14.5,15.6,12.5,14.3,7.3,9.0,4.3,6.3,4.8
156,gujarat,Sabarkantha,SGWB,23.76,72.99,150.0,38.1,36.4,34.8,26.4,35.6,19.4,18.4,14.1,16.6,13.0
157,gujarat,Sabarkantha,SGWB,23.71,73.09,90.0,19.2,21.2,30.4,19.9,29.9,4.0,8.5,4.1,7.4,2.6
158,gujarat,Sabarkantha,SGWB,23.82,72.91,150.0,16.8,14.1,27.8,11.9,15.8,4.5,5.6,1.9,6.0,2.5
159,gujarat,Sabarkantha,SGWB,23.81,73.14,90.0,15.7,19.2,26.5,16.9,21.0,7.6,10.0,6.2,8.6,5.6
160,gujarat,Sabarkantha,SGWB,23.91,72.88,150.0,4.7,5.0,2.9,3.5,9.6,1.8,5.4,0.8,7.8,4.5
161,gujarat,Sabarkantha,SGWB,23.98,72.9,60.0,13.4,11.4,10.5,9.5,12.6,5.1,9.6,2.3,4.7,5.6
